competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
237,2018,Championnats du monde juniors-cadets,Cadet,ITALY,2018-04-08,2018-04-08,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/237,2018-237,
237,2017,Championnats du monde juniors-cadets,Cadet,BULGARIA,2017-04-03,2017-04-03,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2017/237,2017-237,
1111,2017,Championnats Panaméricains Cadets,Cadet,CUBA,2017-03-02,2017-03-07,Foil,Womens,America/Havana,https://fie.org/competitions/2017/1111,2017-1111,
1111,2016,Championnats Panaméricains Cadets,Cadet,MEXICO,2016-02-27,2016-03-04,Foil,Womens,America/Cancun,https://fie.org/competitions/2016/1111,2016-1111,
237,2015,Champ du monde juniors-cadets,Cadet,UZBEKISTAN,2015-04-03,2015-04-03,Foil,Womens,Asia/Tashkent,https://fie.org/competitions/2015/237,2015-237,
237,2014,Champ du monde juniors-cadets,Cadet,BULGARIA,2014-04-03,2014-04-04,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2014/237,2014-237,
1359,2017,Championnats du monde Vétérans 60-69,Veterans,SLOVENIA,2017-10-18,2017-10-18,Foil,Womens,Europe/Ljubljana,https://fie.org/competitions/2017/1359,2017-1359,
1360,2017,Championnats du monde Vétérans 70+,Veterans,SLOVENIA,2017-10-18,2017-10-18,Foil,Womens,Europe/Ljubljana,https://fie.org/competitions/2017/1360,2017-1360,
1105,2016,Championnats du monde vétérans 50-59,Veterans,GERMANY,2016-10-13,2016-10-13,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/1105,2016-1105,
1360,2016,Championnats du monde vétérans 70+,Veterans,GERMANY,2016-10-14,2016-10-14,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/1360,2016-1360,
118,2018,Coupe du Monde,Senior,FRANCE,2017-11-03,2017-11-04,Foil,Womens,Europe/Paris,https://fie.org/competitions/2018/118,2018-118,
